heading,subskill,canonical_phrase,canonical_jd_freq,canonical_weighted_score,source_phrase_count,source_phrases,source_type_mix
Learning platforms & learning tech,LMS / LXP administration,LMS administration,4,3.0,4,lms administration | managing lms | managing lms environments | managing lms environments used,market_phrase
Learning platforms & learning tech,LMS / LXP administration,Moodle-based LMS,2,3.0,2,moodle based lms | moodle based lms platforms,market_phrase
Learning platforms & learning tech,LMS / LXP administration,Totara administration,2,3.0,6,administering totara | administering totara learn | totara learn | totara learn or moodle | totara learn platform | totara learn platform used,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,LMS platforms,8,12.5,8,lms platforms | based lms platforms | including lms platforms | integration with lms platforms | level with lms platforms | lms platforms and e | lms platforms plume | lms platforms plume experience,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platforms,7,4.75,9,learning platforms | digital learning platforms | learning platform | including learning platforms | institutional digital learning platforms | learning platform offering | learning platforms to enhance | maintaining a learning platform | use of learning platforms,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems,3,3.0,8,learning systems | academy learning systems | availability academy learning systems | championing digital learning systems | digital learning systems | learning systems and enhancement | learning systems and platforms | learning systems into curricular,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,LMS/LXP ecosystem,2,4.0,2,lms and lxp | lms and lxp platforms,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning management systems,2,2.0,1,learning management systems,market_phrase | taxonomy_match
Learning platforms & learning tech,Learning platform ecosystem,platform operations,2,3.0,3,platform operations | ensure smooth platform operations | smooth platform operations,market_phrase
Learning platforms & learning tech,Standards & interoperability,SCORM/xAPI,5,8.0,8,scorm xapi | scorm xapi packages | xapi packages | content standards scorm xapi | ensure scorm xapi | ensure scorm xapi compliance | scorm xapi compliance | standards scorm xapi,market_phrase
Project delivery & prioritisation,Change management,change management,4,2.0,3,change management | change or transition | period of change,market_phrase | taxonomy_match
Project delivery & prioritisation,Deadline & time management,deadline management,7,7.0,5,meet deadlines | deadlines are met | deadlines are met while | ensure deadlines | ensure deadlines are met,market_phrase | taxonomy_match
Project delivery & prioritisation,Deadline & time management,time management,4,5.0,1,time management,taxonomy_match
Project delivery & prioritisation,Delivery coordination,content delivery coordination,1,2.0,2,manage content delivery | upload and manage content,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple project management,18,18.0,28,manage multiple | multiple projects | manage multiple projects | manage multiple programmes | manage multiple programmes simultaneously | managing multiple | projects simultaneously | able to manage multiple | client projects simultaneously | manage multiple assets | manage multiple client | manage multiple client projects | manage multiple simulation | manage multiple simulation builds | manage multiple stakeholders | manage multiple workstreams | managing multiple priorities | managing multiple projects | multiple client projects simultaneously | multiple projects and priorities,market_phrase
Project delivery & prioritisation,Project management,project management,10,12.0,6,project management | digital learning project management | learning project management | modern project management | project management principles | project management within software,market_phrase | taxonomy_match
"Quality, standards & continuous improvement",Attention to detail,attention to detail,11,14.0,3,attention to detail | eye for detail | keen eye for detail,market_phrase | taxonomy_match
"Quality, standards & continuous improvement",Continuous improvement,continuous improvement,7,8.0,16,continuous improvement | applying continuous improvement | applying continuous improvement methods | continuous improvement focused | continuous improvement methodologies | continuous improvement methods | continuous improvement of digital | continuous improvements | contribute to continuous improvement | drive continuous improvement | drive continuous improvements | evaluation and continuous improvement | other continuous improvement | other continuous improvement methodologies | proactive continuous improvement | proactive continuous improvement focused,market_phrase
"Quality, standards & continuous improvement",Continuous improvement,process improvements,2,4.0,4,process improvements | ensure sustainable process improvements | implementing process improvements | sustainable process improvements,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,quality assurance,4,7.0,2,quality assurance | follow quality assurance,market_phrase | taxonomy_match
"Quality, standards & continuous improvement",Quality assurance & standards,quality standards,4,2.0,3,highest standards of functionality | quality standards | standards of functionality,market_phrase | taxonomy_match
"Quality, standards & continuous improvement",Quality assurance & standards,accessibility standards,2,1.5,2,accessibility standards | digital accessibility standards,market_phrase
"Quality, standards & continuous improvement",Quality assurance & standards,industry standards,2,3.0,3,industry standards | industry standards and share | trends and industry standards,market_phrase
"Quality, standards & continuous improvement",Quality delivery,high-quality work,3,4.0,5,high quality work | maintaining high quality | maintaining high quality work | while maintaining high quality | high quality work assets,market_phrase
"Quality, standards & continuous improvement",Quality delivery,high-quality educational outputs,2,3.0,3,high quality educational | delivering high quality educational | high quality educational outputs,market_phrase
"Quality, standards & continuous improvement",Risk management,risk management,2,4.0,1,risk management,market_phrase | taxonomy_match
"Coaching, facilitation & training delivery",Coaching & mentoring,coaching,6,8.75,2,coaching | coaching managers,market_phrase | taxonomy_match
"Coaching, facilitation & training delivery",Coaching & mentoring,mentoring,3,3.75,2,mentoring | team and mentoring,market_phrase | taxonomy_match
"Coaching, facilitation & training delivery",Facilitation,facilitation skills,2,4.0,6,facilitation and training | done facilitation and training | facilitation and training strong | facilitation skills | facilitation skills to lead | training strong facilitation skills,market_phrase
"Coaching, facilitation & training delivery",Facilitation,structured problem-solving facilitation,1,2.0,1,structured problem solving,market_phrase
"Coaching, facilitation & training delivery",Training content,training content,3,4.0,5,training content | deliver training content | deliver training content clearly | ensure that training content | training content clearly,market_phrase
"Coaching, facilitation & training delivery",Training delivery,compliance training,3,3.0,2,compliance led training | compliance training,market_phrase
"Coaching, facilitation & training delivery",Training delivery,effective training delivery,2,2.0,2,effective training | delivering effective training,market_phrase
"Coaching, facilitation & training delivery",Training delivery,sales training,2,1.5,4,sales training | developing sales training | retail sales training | sales training for luxury,market_phrase
"Coaching, facilitation & training delivery",Training delivery,software training,2,2.0,4,software training | all round software training | round software training | systems or software training,market_phrase
"Coaching, facilitation & training delivery",Training delivery,technical training,2,1.25,3,technical training | aviation or technical training | face technical training,market_phrase
"Coaching, facilitation & training delivery",Training delivery,training consulting,2,2.0,1,training consulting,market_phrase
Communication,Core communication,communication,21,23.5,1,communication,taxonomy_match
Communication,Writing & verbal communication,writing,4,5.5,2,writing | writing storyboarding,market_phrase | taxonomy_match
Communication,Writing & verbal communication,written and verbal communication,2,4.0,2,communicator with strong written | written and verbal,market_phrase
Analytics & problem solving,Data-driven decision making,data-driven decision making,8,8.5,9,data driven | data driven design | analytical and data driven | data driven approach | data driven content | data driven content roadmap | data driven mindset | leveraging data driven | principles and data driven,market_phrase
Analytics & problem solving,Insight & skills analysis,market insight,2,3.0,4,market insight | interpret market insight | market insight advise | market insight advise clients,market_phrase
Analytics & problem solving,Insight & skills analysis,skills-gap analysis,2,1.5,1,identify skills gaps,taxonomy_match
Analytics & problem solving,Learning analytics,learning analytics,5,2.5,5,analytics dashboards | learning analytics | analysis of learning data | learning analytics and digital | learning analytics to assess,market_phrase
Analytics & problem solving,Problem solving,problem solving,10,13.0,13,analytical and problem solving | creative problem solving | creative problem solving skills | problem solving | problem solving and documentation | problem solving mindset | problem solving skills | problem solving skills when | problem solving skills where | resilience and problem solving | solving mindset | solving mindset with experience | troubleshooting and problem solving,market_phrase
Analytics & problem solving,Problem solving,solving problems,2,3.0,2,solve problems | initiative and solve problems,market_phrase | taxonomy_match
Authoring tools & multimedia production,Adobe & creative tools,Adobe Creative Cloud/Suite,6,4.5,2,adobe creative suite | adobe creative cloud,market_phrase | taxonomy_match
Authoring tools & multimedia production,Articulate toolchain,Articulate Storyline,5,4.5,5,articulate storyline | articulate storyline and ideally | articulate storyline and other | proficiency in articulate storyline | tools articulate storyline,market_phrase
Authoring tools & multimedia production,Articulate toolchain,Articulate 360,2,2.0,2,articulate 360 | articulate 360 suite,market_phrase
Authoring tools & multimedia production,Articulate toolchain,Articulate Rise,2,2.0,5,articulate rise | articulate rise and storyline | elucidat or articulate rise | ideally articulate rise | tool ideally articulate rise,market_phrase
Authoring tools & multimedia production,Authoring tools,authoring tools,12,12.0,17,authoring tools | authoring tool | content authoring tools | other authoring tools | authoring tool ideally | authoring tool ideally articulate | authoring tool or similar | authoring tools a plus | authoring tools and lms | authoring tools articulate | authoring tools articulate storyline | content authoring tools articulate | digital authoring tools | ideally other authoring tools | including content authoring tools | rapid authoring tools | use authoring tools,market_phrase
Authoring tools & multimedia production,Authoring tools,content authoring,4,4.5,7,content authoring | content authoring experience | content authoring solutions | design and content authoring | developing content authoring | developing content authoring solutions | including content authoring,market_phrase
Authoring tools & multimedia production,Graphic & visual design,graphic design,3,3.0,1,graphic design,taxonomy_match
Authoring tools & multimedia production,Graphic & visual design,creative design,2,3.0,3,creative design | creative design knowledge | technical and creative design,market_phrase
Authoring tools & multimedia production,Multimedia & video production,multimedia production,2,2.5,7,engaging multimedia | developing engaging multimedia | developing engaging multimedia assets | engaging multimedia assets | engaging multimedia online | produce engaging multimedia | produce engaging multimedia online,market_phrase
Authoring tools & multimedia production,Multimedia & video production,video editing,2,1.5,2,video editing | basic video editing,market_phrase | taxonomy_match
AI capability,AI tools literacy,AI tools literacy,6,8.0,9,ai tools | proficient with ai tools | ai tools to prototype | embed generative ai tools | emerging ai tools | generative ai tools | passion for ai tools | relevant ai tools | simulations for ai tools,market_phrase
AI capability,Applied AI in workflow,AI application in L&D,2,4.0,1,ai and its application,market_phrase
AI capability,Applied AI in workflow,AI-driven tools,2,2.0,3,ai driven | ai driven solutions | ai driven tools,market_phrase
AI capability,Applied AI in workflow,AI-enabled solutions,2,4.0,3,ai enabled | ai enabled processes | ai enabled solutions,market_phrase
AI capability,Applied AI in workflow,agentic AI,2,3.0,6,agentic ai | agentic ai enabled | agentic ai enabled solutions | including agentic ai | lxps and agentic ai | technologies including agentic ai,market_phrase
