heading,subskill,jd_freq,pct_of_jds,weighted_score,member_phrase_count,member_phrases,source_type_mix,example_files
Strategy & capability development,Leadership & talent development,9,0.09,42.75,23,leadership development | talent development | development programmes | career development | career development initiatives | commercial development programmes | leadership development experience | leadership development experience slt | supporting commercial development programmes | talent development programs | academic development programmes | areas like leadership development,market_phrase,AS L+D consultant AD.docx | Clyde and Co Digital Developer .pdf | JD_Digital_Designer_Anonymised_headerless.docx | Level Mid Senior Accelerator Solutions.docx | NIIT Implementation Specialists .docx
Strategy & capability development,Capability development,7,0.07,19.0,12,capability development | build capability | build capability across its | capability building | capability development frameworks | designed to build capability | capability building across product | capability building and organisational | foster capability development | strategic capability building | support capability building | support strategic capability building,market_phrase,Job Ad.docx | L&D Lead - FTC - Job Specification.docx | Learning Experience Designer Job Ad.pdf | Learning Tech Consultant.docx | Product Development Manger - Lantra.pdf
Strategy & capability development,Product strategy & product development,7,0.07,19.0,12,product development | software development | product strategy | product development context | agile scrum development methodologies | future product development | learning product strategy | line with product strategy | product development including | product development including ai | scrum development methodologies | software development processes,market_phrase,Development Manager Job Description - 2025.pdf | Head of Learning - ad.docx | Medex.docx | Product Development Manger - Lantra.pdf | Technical Project Manager - Nov 2025 - Hemsley Fraser.docx
Strategy & capability development,Organisational development & learning culture,7,0.07,7.0,4,culture of continuous learning | organisational development | strengthen culture | culture of continuous development,market_phrase,AS L+D consultant AD.docx | Document3.docx | Job Ad.docx | Learning Experience Designer Job Ad.pdf | Level Mid Senior Accelerator Solutions.docx
Strategy & capability development,Learning strategy,6,0.06,14.0,10,l and d strategy | learning strategy | strategic goals | align strategic goals | future proofed learning strategy | leadership and learning strategy | learning strategy bonus | proofed learning strategy | strategic goals and communicate | strategic mindset,market_phrase | taxonomy_match,Digital Learning Designer Job Advert .docx | Document3.docx | Job Ad.docx | NIIT - Director Learning Consulting.docx | Technical Project Manager - Nov 2025 - Hemsley Fraser.docx
Learning platforms & learning tech,Learning platform ecosystem,21,0.21,72.5,36,lms platforms | learning platforms | learning systems | digital learning platforms | lms and lxp | based lms platforms | learning platform | platform operations | academy s learning systems | learning management systems | learning platform including | learning platform including e,market_phrase | taxonomy_match,2026 LMS and Digital Learning Lead JD and PS.pdf | CFA job ad .docx | Development Manager Job Description - 2025.pdf | Digital Learning Designer .docx | Document3.docx
Learning platforms & learning tech,Emerging learning technology,6,0.06,26.0,17,emerging technologies | new technologies | technology stacks | emerging technologies and digital | learning technology stacks | technology stacks within large | about exploring new technologies | both emerging technologies | confidence in new technologies | emerging technologies and adult | explore new technologies | exploring new technologies,market_phrase,Digital Adoption Manager - Linklaters.docx | Learning Tech Consultant.docx | NIIT - Director Learning Consulting.docx | Technical Project Manager - Nov 2025 - Hemsley Fraser.docx | Technical Project Manager Advert (002).docx
Learning platforms & learning tech,Standards & interoperability,5,0.05,21.0,8,scorm xapi | scorm xapi packages | xapi packages | content standards scorm xapi | standards scorm xapi | ensure scorm xapi | ensure scorm xapi compliance | scorm xapi compliance,market_phrase,Docebo Implementation Consultant Job Ad.docx | LMS Admin ad.docx | Medex.docx | Systems Learning Designer.docx | Totara LMS Admin .docx
Learning platforms & learning tech,LMS / LXP administration,4,0.04,32.0,12,administering totara | administering totara learn | lms administration | managing lms | managing lms environments | managing lms environments used | moodle based lms | moodle based lms platforms | totara learn | totara learn or moodle | totara learn platform | totara learn platform used,market_phrase,Medex.docx | Thyssenkrupp Job Ad.docx | Thyssenkrupp Job Specification .pdf | Totara LMS Admin .docx
Project delivery & prioritisation,Multi-project management & prioritisation,20,0.2,82.0,29,manage multiple | multiple projects | manage multiple projects | manage multiple programmes | manage multiple programmes simultaneously | managing multiple | organizational and time | projects simultaneously | able to manage multiple | manage multiple simulation | manage multiple simulation builds | manage multiple stakeholders,market_phrase,2026 LMS and Digital Learning Lead JD and PS.pdf | Account Manager - Reading.docx | Digital Learning Designer job spec.docx | Digital Learning PM.docx | Instructional Designer AD.docx
Project delivery & prioritisation,Project management,10,0.1,18.0,6,project management | modern project management | digital learning project management | learning project management | project management principles | project management within software,market_phrase | taxonomy_match,Digital Learning PM.docx | Document3.docx | Job Spec_Learning Data Analyst_Cornerstone Sys Admin_Maternity Cover.pdf | LMS Administrator Job Description.docx | Mind Channel - Operations - Project Manager.docx
Project delivery & prioritisation,Deadline & time management,7,0.07,20.0,6,meet deadlines | time management | deadlines are met | deadlines are met while | ensure deadlines | ensure deadlines are met,market_phrase | taxonomy_match,2026 LMS and Digital Learning Lead JD and PS.pdf | Account Manager - Reading.docx | Development Manager Job Description - 2025.pdf | Digital Learning Designer job spec.docx | Instructional Designer AD.docx
Project delivery & prioritisation,Change management,4,0.04,5.5,3,change or transition | period of change | change management,market_phrase | taxonomy_match,Digital Adoption Manager - Linklaters.docx | Job Ad.docx | L&D Lead - FTC - Job Specification.docx | Mind Channel - Operations - Project Manager.docx
Project delivery & prioritisation,Delivery coordination,2,0.02,3.0,2,manage content delivery | upload and manage content,market_phrase,Docebo Implementation Consultant Job Ad.docx | Document3.docx
"Quality, standards & continuous improvement",Attention to detail,11,0.11,17.0,3,attention to detail | eye for detail | keen eye for detail,market_phrase | taxonomy_match,Digital Learning Designer job spec.docx | Digital Learning Specialist (LONDON) job advert.docx | Document3.docx | Europe Digital - digital consultant_final (Senior Business Analyst).pdf | Instructional Designer AD.docx
"Quality, standards & continuous improvement",Quality assurance & standards,10,0.1,23.5,12,quality assurance | industry standards | highest standards of functionality | quality standards | standards of functionality | accessibility standards | follow quality assurance | accessibility standards wcac | industry standards and share | trends and industry standards | accessibility standards is desirable | digital accessibility standards,market_phrase | taxonomy_match,2026 LMS and Digital Learning Lead JD and PS.pdf | Development Manager Job Description - 2025.pdf | Europe Digital - digital consultant_final (Senior Business Analyst).pdf | JD_Digital_Designer_Anonymised_headerless.docx | Job Spec_Learning Data Analyst_Cornerstone Sys Admin_Maternity Cover.pdf
"Quality, standards & continuous improvement",Continuous improvement,8,0.08,39.0,20,continuous improvement | process improvements | applying continuous improvement | applying continuous improvement methods | continuous improvement methodologies | continuous improvement methods | ensure sustainable process improvements | implementing process improvements | other continuous improvement | other continuous improvement methodologies | sustainable process improvements | continuous improvement focused,market_phrase,Digital Adoption Manager - Linklaters.docx | Job Spec_Learning Data Analyst_Cornerstone Sys Admin_Maternity Cover.pdf | LMS Admin ad.docx | Product Development Manger - Lantra.pdf | Python SME Job Advert .pdf
"Quality, standards & continuous improvement",Quality delivery,5,0.05,18.0,8,high quality work | high quality educational | maintaining high quality | maintaining high quality work | while maintaining high quality | delivering high quality educational | high quality work assets | high quality educational outputs,market_phrase,Account Manager - Reading.docx | LMS Administrator Level 7-8 Job Spec 2025.docx | Media Production Manager AD.docx | Senior_Academic_Developer_KIITE.docx | Skills Dynamics - Account Manager.docx
"Quality, standards & continuous improvement",Risk management,2,0.02,4.0,1,risk management,market_phrase | taxonomy_match,Mind Channel - Operations - Project Manager.docx | Product Development Manger - Lantra.pdf
"Coaching, facilitation & training delivery",Training delivery,13,0.13,26.5,21,compliance led training | compliance training | effective training | software training | training consulting | sales training | technical training | all round software training | delivering effective training | effective training that cuts | retail sales training | round software training,market_phrase,Clyde and Co Digital Developer .pdf | Digital Adoption Manager - Linklaters.docx | Digital Learning Specialist (LONDON) job advert.docx | GateOne - AI Trainer Job Advert .docx | GateOne - AI Trainer Job Advert_.docx
"Coaching, facilitation & training delivery",Coaching & mentoring,8,0.08,14.5,4,coaching | mentoring | coaching managers | team and mentoring,market_phrase | taxonomy_match,Aurion Learning - Lead Learning Designer (Jan2025).docx | Development Manager Job Description - 2025.pdf | JD_Digital_Designer_Anonymised_headerless.docx | Java SME Trainer.docx | Learning & Development Specialist.docx
"Coaching, facilitation & training delivery",Training content,3,0.03,12.0,7,training content | ensure that training content | training content is correctly | although the training content | deliver training content | deliver training content clearly | training content clearly,market_phrase,Community Revival Traffic Trainer.docx | Learning Facilitator JD.pdf | Marine Engineering SME .docx
"Coaching, facilitation & training delivery",Facilitation,2,0.02,16.0,7,facilitation and training | done facilitation and training | facilitation and training strong | facilitation skills | facilitation skills to lead | structured problem solving | training strong facilitation skills,market_phrase,Readynez - Microsoft PL-200 Instructor Job Advert.docx | lean sigma .docx
Communication,Core communication,21,0.21,23.5,1,communication,taxonomy_match,Clyde and Co Digital Developer .pdf | Digital Adoption Manager - Linklaters.docx | Digital Learning Designer job spec.docx | Document3.docx | ELEARN~1.docx
Communication,Writing & verbal communication,6,0.06,15.5,4,writing | communicator with strong written | written and verbal | writing storyboarding,market_phrase | taxonomy_match,ELEARN~1.docx | Instructional Designer AD.docx | JD_Digital_Designer_Anonymised_headerless.docx | Systems Learning Designer.docx | l&d support NEW YORK.docx
Analytics & problem solving,Problem solving,11,0.11,41.0,15,problem solving | analytical and problem solving | problem solving skills | problem solving and documentation | solve problems | problem solving mindset | solving mindset | initiative and solve problems | creative problem solving | creative problem solving skills | problem solving skills when | problem solving skills where,market_phrase | taxonomy_match,2026 LMS and Digital Learning Lead JD and PS.pdf | HR-Head of Learning - Job Spec.pdf | JD_Digital_Designer_Anonymised_headerless.docx | Job Spec_Learning Data Analyst_Cornerstone Sys Admin_Maternity Cover.pdf | LMS Admin ad.docx
Analytics & problem solving,Data-driven decision making,8,0.08,18.0,9,data driven | data driven design | data driven approach | analytical and data driven | data driven content | data driven content roadmap | leveraging data driven | principles and data driven | data driven mindset,market_phrase,Digital Adoption Manager - Linklaters.docx | ELEARN~1.docx | HR-Head of Learning - Job Spec.pdf | Job Spec_Learning Data Analyst_Cornerstone Sys Admin_Maternity Cover.pdf | L&D Lead - FTC - Job Specification.docx
Analytics & problem solving,Learning analytics,5,0.05,7.5,5,analytics dashboards | learning analytics | analysis of learning data | learning analytics and digital | learning analytics to assess,market_phrase,Digital Learning Designer .docx | ELEARN~1.docx | LMS Admin ad.docx | Spirax Sarco - Learning Data Analyst.docx | Thyssenkrupp Job Specification .pdf
Analytics & problem solving,Insight & skills analysis,4,0.04,8.5,5,market insight | identify skills gaps | interpret market insight | market insight advise | market insight advise clients,market_phrase | taxonomy_match,Learning & Development Specialist.docx | NIIT - Director Learning Consulting.docx | Product Development Manger - Lantra.pdf | Thyssenkrupp Job Specification .pdf
Authoring tools & multimedia production,Authoring tools,14,0.14,49.5,26,authoring tools | content authoring | authoring tool | content authoring tools | other authoring tools | authoring tools and lms | authoring tools essential | digital authoring tools | including content authoring | including content authoring tools | use authoring tools | use authoring tools essential,market_phrase,2026 LMS and Digital Learning Lead JD and PS.pdf | AWS - Technical Instructional Designer.docx | CFA job ad .docx | Clyde and Co Digital Developer .pdf | Development Manager Job Description - 2025.pdf
Authoring tools & multimedia production,Articulate toolchain,9,0.09,17.0,12,articulate storyline | articulate 360 | articulate rise | articulate 360 suite | articulate rise and storyline | articulate storyline and ideally | articulate storyline and other | elucidat or articulate rise | ideally articulate rise | proficiency in articulate storyline | tool ideally articulate rise | tools articulate storyline,market_phrase,AWS - Technical Instructional Designer.docx | Digital Learning Specialist (LONDON) job advert.docx | ELEARN~1.docx | JD_Digital_Designer_Anonymised_headerless.docx | Learning Designer - FTC.docx
Authoring tools & multimedia production,Adobe & creative tools,6,0.06,5.5,2,adobe creative suite | adobe creative cloud,market_phrase | taxonomy_match,Clyde and Co Digital Developer .pdf | Digital Learning Designer job spec.docx | Digital Learning Specialist (LONDON) job advert.docx | JD_Digital_Designer_Anonymised_headerless.docx | LMS Administrator Level 7-8 Job Spec 2025.docx
Authoring tools & multimedia production,Graphic & visual design,5,0.05,12.0,5,graphic design | creative design | creative design knowledge | creative design knowledge essential | technical and creative design,market_phrase | taxonomy_match,2026 LMS and Digital Learning Lead JD and PS.pdf | Clyde and Co Digital Developer .pdf | JD_Digital_Designer_Anonymised_headerless.docx | Learning Designer .docx | Technology Training Consultant - UK.docx
Authoring tools & multimedia production,Multimedia & video production,4,0.04,14.5,10,engaging multimedia | video editing | engaging multimedia online | engaging multimedia onlinelearning | produce engaging multimedia | produce engaging multimedia online | basic video editing | developing engaging multimedia | developing engaging multimedia assets | engaging multimedia assets,market_phrase | taxonomy_match,2026 LMS and Digital Learning Lead JD and PS.pdf | Instructional Designer AD.docx | LMS Administrator Level 7-8 Job Spec 2025.docx | Learning Designer .docx
AI capability,Applied AI in workflow,7,0.07,27.0,13,ai and its application | ai enabled | agentic ai | ai driven | agentic ai enabled | agentic ai enabled solutions | ai enabled processes | ai enabled solutions | lxps and agentic ai | ai driven solutions | ai driven tools | including agentic ai,market_phrase,AS L+D consultant AD.docx | CFA job ad .docx | Learning Tech Consultant.docx | Level Mid Senior Accelerator Solutions.docx | Technical Project Manager - Nov 2025 - Hemsley Fraser.docx
AI capability,AI tools literacy,6,0.06,19.0,9,ai tools | proficient with ai tools | relevant ai tools | simulations for ai tools | ai tools to prototype | embed generative ai tools | emerging ai tools | generative ai tools | passion for ai tools,market_phrase,2026 LMS and Digital Learning Lead JD and PS.pdf | AI Training Consultant Job Advert.docx | Digital Adoption Manager - Linklaters.docx | GateOne - AI Trainer Job Advert .docx | GateOne - AI Trainer Job Advert_.docx
