heading,subskill,phrase,phrase_jd_freq,phrase_weighted_score,source_type_mix
Learning design & digital learning,Instructional design,qualification in instructional design,1,0.5,market_phrase
Learning design & digital learning,Instructional design,technical instructional designer,1,1.0,market_phrase
Learning design & digital learning,Instructional design,technical instructional designer who,1,1.0,market_phrase
Learning design & digital learning,Instructional design,ui and instructional design,1,1.0,market_phrase
Learning design & digital learning,Instructional design,ux and instructional design,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning programmes,5,5.75,market_phrase
Learning design & digital learning,Learning architecture & programme design,end to end learning,4,4.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning products,4,6.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,scenario based learning,2,3.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,accuratelearning journeys,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,approach to programme design,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,b2b learning products,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,curriculum learning products,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,developing new learning products,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,digital learning products,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,end learning programmes,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,enhance our learning programmes,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,essential learning programmes,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning journeys,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning products and manage,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning programmes across industries,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,new learning products,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,overseeing essential learning programmes,1,2.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,programme design,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,programme design and cultural,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,structured learning programmes,1,0.75,market_phrase
Learning design & digital learning,Learning architecture & programme design,support learning programmes,1,1.0,market_phrase
Learning design & digital learning,Learning architecture & programme design,technically accuratelearning journeys,1,2.0,market_phrase
Learning design & digital learning,Learning needs analysis,learning needs,4,4.0,market_phrase
Learning design & digital learning,Learning needs analysis,assess learning needs,2,2.0,market_phrase
Learning design & digital learning,Learning needs analysis,learner centred,2,2.0,market_phrase
Learning design & digital learning,Learning needs analysis,achieve client learning needs,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,client learning needs,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,learner centred design,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,learner centred digital,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,learner centred digital learning,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,learning needs and define,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,learning needs the role,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,learning needs through designing,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,principles and learner centred,1,1.0,market_phrase
Learning design & digital learning,Learning needs analysis,support learning needs,1,1.0,market_phrase
Stakeholder management & collaboration,Business alignment,business goals,5,5.5,market_phrase
Stakeholder management & collaboration,Business alignment,aligned to business goals,1,0.5,market_phrase
Stakeholder management & collaboration,Business alignment,aligned with business goals,1,2.0,market_phrase
Stakeholder management & collaboration,Business alignment,alignment with business goals,1,1.0,market_phrase
Stakeholder management & collaboration,Business alignment,business goals and delivering,1,1.0,market_phrase
Stakeholder management & collaboration,Business alignment,high level business goals,1,1.0,market_phrase
Stakeholder management & collaboration,Business alignment,level business goals,1,1.0,market_phrase
Stakeholder management & collaboration,Business alignment,needs and business goals,1,1.0,market_phrase
Stakeholder management & collaboration,Client relationship management,client relationships,3,3.0,market_phrase
Stakeholder management & collaboration,Client relationship management,clients at all levels,2,2.0,market_phrase
Stakeholder management & collaboration,Client relationship management,communicate with clients,2,3.0,market_phrase
Stakeholder management & collaboration,Client relationship management,confidence to engage clients,2,2.0,market_phrase
Stakeholder management & collaboration,Client relationship management,engage clients,2,2.0,market_phrase
Stakeholder management & collaboration,Client relationship management,engage clients at all,2,2.0,market_phrase
Stakeholder management & collaboration,Client relationship management,client relationships whilst,1,1.0,market_phrase
Stakeholder management & collaboration,Client relationship management,client relationships whilst collaborating,1,1.0,market_phrase
Stakeholder management & collaboration,Client relationship management,manage senior client relationships,1,1.0,market_phrase
Stakeholder management & collaboration,Client relationship management,managing client relationships,1,1.0,market_phrase | taxonomy_match
Stakeholder management & collaboration,Client relationship management,portfolio of client relationships,1,1.0,market_phrase
Stakeholder management & collaboration,Client relationship management,senior client relationships,1,1.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional,8,10.5,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional teams,3,4.5,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,collaborating with subject,2,2.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,collaborating with subject matter,2,2.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional collaboration,2,2.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,collaborate with cross functional,1,2.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,collaborative and cross functional,1,1.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional and global,1,1.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional industries,1,2.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional work,1,1.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional work experience,1,1.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional working,1,1.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functional working skills,1,1.0,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functionally,1,0.5,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,cross functionally with global,1,0.5,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,smes and cross functional,1,0.5,market_phrase
Stakeholder management & collaboration,Cross-functional collaboration,smes collaborating with subject,1,1.0,market_phrase
Stakeholder management & collaboration,Performance consulting,business needs,2,3.0,market_phrase
Stakeholder management & collaboration,Performance consulting,business objectives,2,3.0,market_phrase
Stakeholder management & collaboration,Performance consulting,client challenges,2,2.0,market_phrase
Stakeholder management & collaboration,Performance consulting,client challenges into exciting,2,2.0,market_phrase
Stakeholder management & collaboration,Performance consulting,loves turning client challenges,2,2.0,market_phrase
Stakeholder management & collaboration,Performance consulting,turning client challenges,2,2.0,market_phrase
Stakeholder management & collaboration,Performance consulting,language and business needs,1,2.0,market_phrase
Stakeholder management & collaboration,Performance consulting,larger business needs,1,1.0,market_phrase
Stakeholder management & collaboration,Performance consulting,solving larger business needs,1,1.0,market_phrase
Stakeholder management & collaboration,Performance consulting,understand business objectives,1,2.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter experts,5,6.0,market_phrase
Stakeholder management & collaboration,SME collaboration,subject matter experts,5,6.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter expertise,2,4.0,market_phrase
Stakeholder management & collaboration,SME collaboration,subject matter expertise,2,4.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter expertise in python,1,2.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter expertise strong,1,2.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter expertise strong background,1,2.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter experts smes,1,1.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter experts to create,1,1.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter experts to gather,1,2.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter experts to map,1,1.0,market_phrase
Stakeholder management & collaboration,SME collaboration,matter experts to simplify,1,1.0,market_phrase
Stakeholder management & collaboration,SME collaboration,subject matter expert,1,2.0,market_phrase
Stakeholder management & collaboration,SME collaboration,subject matter expertise strong,1,2.0,market_phrase
Stakeholder management & collaboration,SME collaboration,subject matter experts smes,1,1.0,market_phrase
Stakeholder management & collaboration,SME collaboration,submarine subject matter expert,1,2.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,stakeholder management,8,8.5,taxonomy_match
Stakeholder management & collaboration,Stakeholder management,stakeholder engagement,5,6.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,senior stakeholders,4,6.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,external stakeholders,3,4.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,internal stakeholders,3,4.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,technical stakeholders,3,3.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,clients and internal stakeholders,2,3.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,internal and external stakeholders,2,2.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,non technical stakeholders,2,2.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,closely with senior stakeholders,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,collaborate with internal stakeholders,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,collaboration and stakeholder engagement,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,collaboratively with senior stakeholders,1,2.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,internal stakeholders and subject,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,managing external stakeholders,1,2.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,senior stakeholders to understand,1,2.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,senior technical stakeholders,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,senior technical stakeholders e,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,stakeholder engagement skilled,1,2.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,technical stakeholders and user,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,technical stakeholders e,1,1.0,market_phrase
Stakeholder management & collaboration,Stakeholder management,technical stakeholders e g,1,1.0,market_phrase
Strategy & capability development,Capability development,capability development,3,3.0,market_phrase
Strategy & capability development,Capability development,build capability,2,2.0,market_phrase
Strategy & capability development,Capability development,build capability across its,2,2.0,market_phrase
Strategy & capability development,Capability development,capability building,2,2.0,market_phrase
Strategy & capability development,Capability development,capability development frameworks,2,2.0,market_phrase
Strategy & capability development,Capability development,designed to build capability,2,2.0,market_phrase
Strategy & capability development,Capability development,capability building across product,1,1.0,market_phrase
Strategy & capability development,Capability development,capability building and organisational,1,1.0,market_phrase
Strategy & capability development,Capability development,foster capability development,1,1.0,market_phrase
Strategy & capability development,Capability development,strategic capability building,1,1.0,market_phrase
Strategy & capability development,Capability development,support capability building,1,1.0,market_phrase
Strategy & capability development,Capability development,support strategic capability building,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,leadership development,4,6.0,market_phrase
Strategy & capability development,Leadership & talent development,talent development,4,5.0,market_phrase
Strategy & capability development,Leadership & talent development,development programmes,3,4.0,market_phrase
Strategy & capability development,Leadership & talent development,career development,2,3.0,market_phrase
Strategy & capability development,Leadership & talent development,academic development programmes,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,areas like leadership development,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,business services career development,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,career development initiatives,1,2.0,market_phrase
Strategy & capability development,Leadership & talent development,commercial development programmes,1,2.0,market_phrase
Strategy & capability development,Leadership & talent development,delivering academic development programmes,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,delivering leadership development,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,delivering leadership development programmes,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,development programmes and cpd,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,lead leadership development,1,0.75,market_phrase
Strategy & capability development,Leadership & talent development,leadership development experience,1,2.0,market_phrase
Strategy & capability development,Leadership & talent development,leadership development experience slt,1,2.0,market_phrase
Strategy & capability development,Leadership & talent development,leadership development programmes,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,like leadership development,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,services career development,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,skills and talent development,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,supporting commercial development programmes,1,2.0,market_phrase
Strategy & capability development,Leadership & talent development,talent development company,1,1.0,market_phrase
Strategy & capability development,Leadership & talent development,talent development programs,1,2.0,market_phrase
Strategy & capability development,Learning strategy,l and d strategy,2,3.0,market_phrase | taxonomy_match
Strategy & capability development,Learning strategy,learning strategy,2,2.0,market_phrase
Strategy & capability development,Learning strategy,strategic goals,2,2.0,market_phrase
Strategy & capability development,Learning strategy,align strategic goals,1,1.0,market_phrase
Strategy & capability development,Learning strategy,future proofed learning strategy,1,1.0,market_phrase
Strategy & capability development,Learning strategy,leadership and learning strategy,1,1.0,market_phrase
Strategy & capability development,Learning strategy,learning strategy bonus,1,1.0,market_phrase
Strategy & capability development,Learning strategy,proofed learning strategy,1,1.0,market_phrase
Strategy & capability development,Learning strategy,strategic goals and communicate,1,1.0,market_phrase
Strategy & capability development,Learning strategy,strategic mindset,1,1.0,market_phrase
Strategy & capability development,Organisational development & learning culture,culture of continuous learning,2,2.0,market_phrase
Strategy & capability development,Organisational development & learning culture,organisational development,2,2.0,market_phrase
Strategy & capability development,Organisational development & learning culture,strengthen culture,2,2.0,market_phrase
Strategy & capability development,Organisational development & learning culture,culture of continuous development,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,product development,3,4.0,market_phrase
Strategy & capability development,Product strategy & product development,product strategy,2,2.0,market_phrase
Strategy & capability development,Product strategy & product development,software development,2,3.0,market_phrase
Strategy & capability development,Product strategy & product development,agile scrum development methodologies,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,future product development,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,learning product strategy,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,line with product strategy,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,product development context,1,2.0,market_phrase
Strategy & capability development,Product strategy & product development,product development including,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,product development including ai,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,scrum development methodologies,1,1.0,market_phrase
Strategy & capability development,Product strategy & product development,software development processes,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,emerging technologies,3,3.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,new technologies,3,3.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,emerging technologies and digital,2,2.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,technology stacks,2,3.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,about exploring new technologies,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,both emerging technologies,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,confidence in new technologies,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,emerging technologies and adult,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,explore new technologies,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,exploring new technologies,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,exploring new technologies including,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,familiarity with emerging technologies,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,learning technology stacks,1,2.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,new technologies including,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,new technologies including agentic,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,talent technology stacks,1,1.0,market_phrase
Learning platforms & learning tech,Emerging learning technology,technology stacks within large,1,2.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,administering totara,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,administering totara learn,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,lms administration,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,managing lms,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,managing lms environments,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,managing lms environments used,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,moodle based lms,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,moodle based lms platforms,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,totara learn,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,totara learn or moodle,2,3.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,totara learn platform,1,1.0,market_phrase
Learning platforms & learning tech,LMS / LXP administration,totara learn platform used,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms platforms,8,12.5,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platforms,5,4.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,digital learning platforms,3,2.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems,3,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,academy s learning systems,2,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,based lms platforms,2,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning management systems,2,2.0,market_phrase | taxonomy_match
Learning platforms & learning tech,Learning platform ecosystem,learning platform,2,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms and lxp,2,4.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,platform operations,2,3.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,academy learning systems,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,availability academy learning systems,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,championing digital learning systems,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,digital learning systems,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,ensure smooth platform operations,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,including learning platforms,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,including lms platforms,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,institutional digital learning platforms,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,integration with lms platforms,1,0.5,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform including,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform including e,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform offering,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platform offering continues,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning platforms to enhance,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems and enhancement,1,0.75,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems and platforms,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,learning systems into curricular,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,level with lms platforms,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms and lxp platforms,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms platforms and e,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms platforms plume,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,lms platforms plume experience,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,maintaining a learning platform,1,2.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,platform operations and excellent,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,smooth platform operations,1,1.0,market_phrase
Learning platforms & learning tech,Learning platform ecosystem,use of learning platforms,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,scorm xapi,5,8.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,scorm xapi packages,2,3.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,xapi packages,2,3.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,content standards scorm xapi,1,2.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,ensure scorm xapi,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,ensure scorm xapi compliance,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,scorm xapi compliance,1,1.0,market_phrase
Learning platforms & learning tech,Standards & interoperability,standards scorm xapi,1,2.0,market_phrase
Project delivery & prioritisation,Change management,change management,2,1.5,taxonomy_match
Project delivery & prioritisation,Change management,change or transition,2,2.0,market_phrase
Project delivery & prioritisation,Change management,period of change,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,meet deadlines,5,7.0,taxonomy_match
Project delivery & prioritisation,Deadline & time management,time management,4,5.0,taxonomy_match
Project delivery & prioritisation,Deadline & time management,deadlines are met,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,deadlines are met while,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,ensure deadlines,2,2.0,market_phrase
Project delivery & prioritisation,Deadline & time management,ensure deadlines are met,2,2.0,market_phrase
Project delivery & prioritisation,Delivery coordination,manage content delivery,1,2.0,market_phrase
Project delivery & prioritisation,Delivery coordination,upload and manage content,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple,12,18.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects,10,13.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple projects,5,7.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple programmes,2,4.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple programmes simultaneously,2,4.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,managing multiple,2,3.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,organizational and time,2,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,projects simultaneously,2,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,able to manage multiple,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,client projects simultaneously,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple assets,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple client,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple client projects,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple simulation,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple simulation builds,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple stakeholders,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,manage multiple workstreams,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,managing multiple priorities,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,managing multiple projects,1,2.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple client projects simultaneously,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects and priorities,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects and work,1,1.0,market_phrase
Project delivery & prioritisation,Multi-project management & prioritisation,multiple projects at once,1,2.0,market_phrase
